STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.798764323 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000217,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,796363
CPU_CLK_UNHALTED_CORE,FIXC1,627080
CPU_CLK_UNHALTED_REF,FIXC2,290325
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,165905
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,4096
TABLE,Region v2_montaSL,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0002,
Runtime unhalted [s],0.0003,
Clock [MHz],3885.1946,
CPI,0.7874,
DP [MFLOP/s],841.8999,
AVX DP [MFLOP/s],75.6693,
Packed [MUOPS/s],18.9173,
Scalar [MUOPS/s],766.2305,
Vectorization ratio [%],2.4094,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.798764323 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12175
CPU_CLK_UNHALTED_CORE,FIXC1,17751
CPU_CLK_UNHALTED_REF,FIXC2,8175
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,56
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,353
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,152
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],1.224786e-06,
Runtime unhalted [s],9.868441e-06,
Clock [MHz],3905.7939,
CPI,1.4580,
DP [MFLOP/s],876.0714,
AVX DP [MFLOP/s],496.4133,
Packed [MUOPS/s],169.8256,
Scalar [MUOPS/s],288.2136,
Vectorization ratio [%],37.0766,
