STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799223488 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.002695,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,36004920
CPU_CLK_UNHALTED_CORE,FIXC1,10489130
CPU_CLK_UNHALTED_REF,FIXC2,4852425
MEM_LOAD_RETIRED_L3_HIT,PMC0,619
MEM_LOAD_RETIRED_L3_MISS,PMC1,30
UOPS_RETIRED_ALL,PMC2,39356800
TABLE,Region v2_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0027,
Runtime unhalted [s],0.0058,
Clock [MHz],3889.2490,
CPI,0.2913,
L3 request rate,1.649016e-05,
L3 miss rate,7.622571e-07,
L3 miss ratio,0.0462,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799223488 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11997
CPU_CLK_UNHALTED_CORE,FIXC1,16482
CPU_CLK_UNHALTED_REF,FIXC2,7725
MEM_LOAD_RETIRED_L3_HIT,PMC0,69
MEM_LOAD_RETIRED_L3_MISS,PMC1,2
UOPS_RETIRED_ALL,PMC2,14827
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.398274e-06,
Runtime unhalted [s],9.160619e-06,
Clock [MHz],3838.8093,
CPI,1.3738,
L3 request rate,0.0048,
L3 miss rate,0.0001,
L3 miss ratio,0.0282,
