STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799993683 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],33.704150,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,35170400000
CPU_CLK_UNHALTED_CORE,FIXC1,128374600000
CPU_CLK_UNHALTED_REF,FIXC2,59481100000
TEMP_CORE,TMP0,78
PWR_PKG_ENERGY,PWR0,381.1460
PWR_PP0_ENERGY,PWR1,297.9694
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,24.9757
TABLE,Region v2_montaSL,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],33.7041,
Runtime unhalted [s],71.3195,
Clock [MHz],3884.8217,
CPI,3.6501,
Temperature [C],78,
Energy [J],381.1460,
Power [W],11.3086,
Energy PP0 [J],297.9694,
Power PP0 [W],8.8407,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],24.9757,
Power DRAM [W],0.7410,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799993683 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.126209,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,528507100
CPU_CLK_UNHALTED_CORE,FIXC1,483722900
CPU_CLK_UNHALTED_REF,FIXC2,224065400
TEMP_CORE,TMP0,91
PWR_PKG_ENERGY,PWR0,2.0966
PWR_PP0_ENERGY,PWR1,1.7581
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.1490
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1262,
Runtime unhalted [s],0.2687,
Clock [MHz],3885.9108,
CPI,0.9153,
Temperature [C],91,
Energy [J],2.0966,
Power [W],16.6118,
Energy PP0 [J],1.7581,
Power PP0 [W],13.9302,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.1490,
Power DRAM [W],1.1805,
