STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799358841 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.069901,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,197734900
CPU_CLK_UNHALTED_CORE,FIXC1,256484900
CPU_CLK_UNHALTED_REF,FIXC2,118893400
MEM_LOAD_RETIRED_L3_HIT,PMC0,1974138
MEM_LOAD_RETIRED_L3_MISS,PMC1,1115538
UOPS_RETIRED_ALL,PMC2,233082100
TABLE,Region v2_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0699,
Runtime unhalted [s],0.1425,
Clock [MHz],3881.6988,
CPI,1.2971,
L3 request rate,0.0133,
L3 miss rate,0.0048,
L3 miss ratio,0.3611,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799358841 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.123610,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,528622300
CPU_CLK_UNHALTED_CORE,FIXC1,472551200
CPU_CLK_UNHALTED_REF,FIXC2,218844400
MEM_LOAD_RETIRED_L3_HIT,PMC0,6535274
MEM_LOAD_RETIRED_L3_MISS,PMC1,1367706
UOPS_RETIRED_ALL,PMC2,615760400
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1236,
Runtime unhalted [s],0.2626,
Clock [MHz],3885.3596,
CPI,0.8939,
L3 request rate,0.0128,
L3 miss rate,0.0022,
L3 miss ratio,0.1731,
