STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799190995 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],351.280700,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,251161400000
CPU_CLK_UNHALTED_CORE,FIXC1,1354376000000
CPU_CLK_UNHALTED_REF,FIXC2,626860200000
MEM_LOAD_RETIRED_L3_HIT,PMC0,35473040000
MEM_LOAD_RETIRED_L3_MISS,PMC1,14223740000
UOPS_RETIRED_ALL,PMC2,252997700000
TABLE,Region v2_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],351.2807,
Runtime unhalted [s],752.7694,
Clock [MHz],3887.2800,
CPI,5.3925,
L3 request rate,0.1964,
L3 miss rate,0.0562,
L3 miss ratio,0.2862,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799190995 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.120983,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,528506400
CPU_CLK_UNHALTED_CORE,FIXC1,466495900
CPU_CLK_UNHALTED_REF,FIXC2,215896200
MEM_LOAD_RETIRED_L3_HIT,PMC0,6426371
MEM_LOAD_RETIRED_L3_MISS,PMC1,1428237
UOPS_RETIRED_ALL,PMC2,615530800
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1210,
Runtime unhalted [s],0.2593,
Clock [MHz],3887.5868,
CPI,0.8827,
L3 request rate,0.0128,
L3 miss rate,0.0023,
L3 miss ratio,0.1818,
