STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799918441 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],49.634010,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,50239540000
CPU_CLK_UNHALTED_CORE,FIXC1,185798300000
CPU_CLK_UNHALTED_REF,FIXC2,86638530000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,10060020000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,4990000
TABLE,Region v2_montaSL,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],49.6340,
Runtime unhalted [s],103.2260,
Clock [MHz],3859.9661,
CPI,3.6982,
DP [MFLOP/s],203.0862,
AVX DP [MFLOP/s],0.4021,
Packed [MUOPS/s],0.1005,
Scalar [MUOPS/s],202.6840,
Vectorization ratio [%],0.0496,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799918441 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.133848,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,528506800
CPU_CLK_UNHALTED_CORE,FIXC1,506174600
CPU_CLK_UNHALTED_REF,FIXC2,235239800
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,500500
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,3005018
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,166541500
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1338,
Runtime unhalted [s],0.2812,
Clock [MHz],3872.9543,
CPI,0.9577,
DP [MFLOP/s],5006.9782,
AVX DP [MFLOP/s],4977.0485,
Packed [MUOPS/s],1248.0015,
Scalar [MUOPS/s],22.4510,
Vectorization ratio [%],98.2328,
