STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799970193 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],104.606100,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,881067700000
CPU_CLK_UNHALTED_CORE,FIXC1,401694100000
CPU_CLK_UNHALTED_REF,FIXC2,186231700000
MEM_LOAD_RETIRED_L3_HIT,PMC0,351670
MEM_LOAD_RETIRED_L3_MISS,PMC1,31706
UOPS_RETIRED_ALL,PMC2,1032408000000
TABLE,Region v1_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],104.6061,
Runtime unhalted [s],223.1671,
Clock [MHz],3882.4615,
CPI,0.4559,
L3 request rate,3.713416e-07,
L3 miss rate,3.071073e-08,
L3 miss ratio,0.0827,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799970193 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.135221,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,527981400
CPU_CLK_UNHALTED_CORE,FIXC1,477164900
CPU_CLK_UNHALTED_REF,FIXC2,241613300
MEM_LOAD_RETIRED_L3_HIT,PMC0,6520945
MEM_LOAD_RETIRED_L3_MISS,PMC1,1546181
UOPS_RETIRED_ALL,PMC2,697952200
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1352,
Runtime unhalted [s],0.2651,
Clock [MHz],3554.7819,
CPI,0.9038,
L3 request rate,0.0116,
L3 miss rate,0.0022,
L3 miss ratio,0.1917,
