STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799397696 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.013604,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,108546000
CPU_CLK_UNHALTED_CORE,FIXC1,51605100
CPU_CLK_UNHALTED_REF,FIXC2,23907380
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,48438020
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region v1_montaSL,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0136,
Runtime unhalted [s],0.0287,
Clock [MHz],3884.0767,
CPI,0.4754,
DP [MFLOP/s],3560.5457,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],3560.5457,
Vectorization ratio [%],0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799397696 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11871
CPU_CLK_UNHALTED_CORE,FIXC1,16829
CPU_CLK_UNHALTED_REF,FIXC2,7875
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,56
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,353
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,152
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],1.306130e-06,
Runtime unhalted [s],9.352574e-06,
Clock [MHz],3845.3414,
CPI,1.4177,
DP [MFLOP/s],821.5109,
AVX DP [MFLOP/s],465.4973,
Packed [MUOPS/s],159.2491,
Scalar [MUOPS/s],270.2641,
Vectorization ratio [%],37.0766,
