STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799853324 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.022342,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,180907000
CPU_CLK_UNHALTED_CORE,FIXC1,85277240
CPU_CLK_UNHALTED_REF,FIXC2,39467700
TEMP_CORE,TMP0,72
PWR_PKG_ENERGY,PWR0,0.2629
PWR_PP0_ENERGY,PWR1,0.2129
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.0063
TABLE,Region v1_montaSL,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0223,
Runtime unhalted [s],0.0474,
Clock [MHz],3888.9148,
CPI,0.4714,
Temperature [C],72,
Energy [J],0.2629,
Power [W],11.7689,
Energy PP0 [J],0.2129,
Power PP0 [W],9.5287,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.0063,
Power DRAM [W],0.2814,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799853324 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12110
CPU_CLK_UNHALTED_CORE,FIXC1,16378
CPU_CLK_UNHALTED_REF,FIXC2,7650
TEMP_CORE,TMP0,72
PWR_PKG_ENERGY,PWR0,0
PWR_PP0_ENERGY,PWR1,0.0007
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.0002
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],1.277306e-06,
Runtime unhalted [s],9.099630e-06,
Clock [MHz],3853.3330,
CPI,1.3524,
Temperature [C],72,
Energy [J],0,
Power [W],0,
Energy PP0 [J],0.0007,
Power PP0 [W],573.4115,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.0002,
Power DRAM [W],191.1371,
