STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799963571 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],53.357040,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,440540200000
CPU_CLK_UNHALTED_CORE,FIXC1,202673000000
CPU_CLK_UNHALTED_REF,FIXC2,94922710000
TEMP_CORE,TMP0,86
PWR_PKG_ENERGY,PWR0,744.5576
PWR_PP0_ENERGY,PWR1,609.1107
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,15.6312
TABLE,Region v1_montaSL,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],53.3570,
Runtime unhalted [s],112.5984,
Clock [MHz],3843.1690,
CPI,0.4601,
Temperature [C],86,
Energy [J],744.5576,
Power [W],13.9543,
Energy PP0 [J],609.1107,
Power PP0 [W],11.4158,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],15.6312,
Power DRAM [W],0.2930,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799963571 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.142936,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,527982000
CPU_CLK_UNHALTED_CORE,FIXC1,504735500
CPU_CLK_UNHALTED_REF,FIXC2,255729500
TEMP_CORE,TMP0,80
PWR_PKG_ENERGY,PWR0,2.1436
PWR_PP0_ENERGY,PWR1,1.6774
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.1797
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1429,
Runtime unhalted [s],0.2804,
Clock [MHz],3552.6035,
CPI,0.9560,
Temperature [C],80,
Energy [J],2.1436,
Power [W],14.9966,
Energy PP0 [J],1.6774,
Power PP0 [W],11.7351,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.1797,
Power DRAM [W],1.2571,
