STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799974682 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.113415,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,904506000
CPU_CLK_UNHALTED_CORE,FIXC1,429419200
CPU_CLK_UNHALTED_REF,FIXC2,198869000
MEM_LOAD_RETIRED_L3_HIT,PMC0,21491
MEM_LOAD_RETIRED_L3_MISS,PMC1,176
UOPS_RETIRED_ALL,PMC2,1081093000
TABLE,Region v1_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1134,
Runtime unhalted [s],0.2386,
Clock [MHz],3886.6977,
CPI,0.4748,
L3 request rate,2.004175e-05,
L3 miss rate,1.627982e-07,
L3 miss ratio,0.0081,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799974682 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000002,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11774
CPU_CLK_UNHALTED_CORE,FIXC1,24918
CPU_CLK_UNHALTED_REF,FIXC2,11400
MEM_LOAD_RETIRED_L3_HIT,PMC0,54
MEM_LOAD_RETIRED_L3_MISS,PMC1,5
UOPS_RETIRED_ALL,PMC2,14654
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.788358e-06,
Runtime unhalted [s],1.384353e-05,
Clock [MHz],3934.3657,
CPI,2.1164,
L3 request rate,0.0040,
L3 miss rate,0.0003,
L3 miss ratio,0.0847,
