STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799993607 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],129.672800,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1027911000000
CPU_CLK_UNHALTED_CORE,FIXC1,474392000000
CPU_CLK_UNHALTED_REF,FIXC2,228304100000
MEM_LOAD_RETIRED_L3_HIT,PMC0,2572593
MEM_LOAD_RETIRED_L3_MISS,PMC1,442447
UOPS_RETIRED_ALL,PMC2,1204460000000
TABLE,Region v1_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],129.6728,
Runtime unhalted [s],263.5520,
Clock [MHz],3740.1981,
CPI,0.4615,
L3 request rate,2.503230e-06,
L3 miss rate,3.673406e-07,
L3 miss ratio,0.1467,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799993607 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.139059,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,527981500
CPU_CLK_UNHALTED_CORE,FIXC1,500591000
CPU_CLK_UNHALTED_REF,FIXC2,248944000
MEM_LOAD_RETIRED_L3_HIT,PMC0,6537919
MEM_LOAD_RETIRED_L3_MISS,PMC1,1687994
UOPS_RETIRED_ALL,PMC2,697976900
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1391,
Runtime unhalted [s],0.2781,
Clock [MHz],3619.5313,
CPI,0.9481,
L3 request rate,0.0118,
L3 miss rate,0.0024,
L3 miss ratio,0.2052,
